Actual,Prediction w/o Attention,Prediction w Attention
"	अंक
","	एंक
","	अंक
"
"	अंकित
","	एंकिट
","	अंकित
"
"	अंतर्मुख
","	अंतरमूख
","	अंतर्मुख
"
"	अछनेरा
","	अछ्नेरा
","	अछनेरा
"
"	अथक
","	अठक
","	अथक
"
"	अदद
","	अदड़
","	अदद
"
"	अद्वैत
","	अदवित
","	अद्वैत
"
"	अद्वैतवाद
","	अदवितवाद
","	अद्वैतवाद
"
"	अभी
","	अभिय
","	अभी
"
"	अमित
","	अमिट
","	अमित
"
"	अयोध्यानाथ
","	अयोध्यान
","	अयोध्यानाथ
"
"	अरदास
","	अरदरस
","	अरदास
"
"	अर्जेंट
","	अरजेंट
","	अर्जेंट
"
"	अर्थ
","	आर्थ
","	अर्थ
"
"	अर्थों
","	आर्थों
","	अर्थों
"
"	अर्यमा
","	आर्यमा
","	अर्यमा
"
"	अल्बा
","	एल्बा
","	अल्बा
"
"	अशक्तता
","	अशकत्ता
","	अशक्तता
"
"	असेट
","	एसेट
","	असेट
"
"	अहिरौली
","	अहिरालु
","	अहिरौली
"
"	आउंस
","	यूंस
","	आउंस
"
"	आगाशे
","	आगारे
","	आगाशे
"
"	आलोचकों
","	आलोकों
","	आलोचकों
"
"	आवाज़ें
","	आवाजें
","	आवाज़ें
"
"	आश्रितों
","	आशर्तिओं
","	आश्रितों
"
"	इकाई
","	एकाई
","	इकाई
"
"	इकोनोमिक
","	इकोनॉमिक
","	इकोनोमिक
"
"	इक्विटीज
","	एक्युटिज
","	इक्विटीज
"
"	इष्ट
","	इश्ट
","	इष्ट
"
"	उपद्रवों
","	उपद्रवाओं
","	उपद्रवों
"
"	उपनेता
","	उपनेटा
","	उपनेता
"
"	उपभोक्ता
","	उपभूकता
","	उपभोक्ता
"
"	उपलब्ध
","	उपलाध
","	उपलब्ध
"
"	उपलब्धियों
","	उपलाभियों
","	उपलब्धियों
"
"	उर्वरकों
","	उर्वाकरों
","	उर्वरकों
"
"	एमी
","	एम्य
","	एमी
"
"	औचित्य
","	ऑचिट्य
","	औचित्य
"
"	औलख
","	अलखक
","	औलख
"
"	कन्वोकेशन
","	कॉन्वेक्शन
","	कन्वोकेशन
"
"	कब्रें
","	कबरें
","	कब्रें
"
"	कब्रों
","	कबरों
","	कब्रों
"
"	करना
","	कर्ना
","	करना
"
"	कलमें
","	कालमें
","	कलमें
"
"	कलराज
","	कल्राज
","	कलराज
"
"	काकू
","	ककू
","	काकू
"
"	कुसुमलता
","	कुसुमाता
","	कुसुमलता
"
"	कैंडिडेट
","	कैंडीटेड
","	कैंडिडेट
"
"	कोरोला
","	कोरल्ला
","	कोरोला
"
"	कोलन
","	कॉलन
","	कोलन
"
"	क्यूट
","	कटे
","	क्यूट
"
"	क्रूगर
","	क्रूजर
","	क्रूगर
"
"	क्लासों
","	क्लास्सन
","	क्लासों
"
"	क्वांटिको
","	क्वांटिकों
","	क्वांटिको
"
"	खजराना
","	खजरारा
","	खजराना
"
"	खपत
","	खपट
","	खपत
"
"	खुदा
","	खुड़ा
","	खुदा
"
"	खुरपका
","	खुरापका
","	खुरपका
"
"	खोईखोई
","	खोइखो
","	खोईखोई
"
"	गम्मत
","	गममत
","	गम्मत
"
"	गलगंड
","	गलगंद
","	गलगंड
"
"	गायत्री
","	गयात्री
","	गायत्री
"
"	गिरती
","	गिराती
","	गिरती
"
"	गोपीचंद
","	गोपिचंद
","	गोपीचंद
"
"	घबराहट
","	घरबरह
","	घबराहट
"
"	घासी
","	घसी
","	घासी
"
"	घुमक्कड़ी
","	घुमककावी
","	घुमक्कड़ी
"
"	घोस्ट
","	घोस्त
","	घोस्ट
"
"	चादर
","	चड़र
","	चादर
"
"	चादरों
","	चड़रों
","	चादरों
"
"	चान
","	चन
","	चान
"
"	चानन
","	चनन
","	चानन
"
"	चायल
","	चयल
","	चायल
"
"	चारों
","	चरों
","	चारों
"
"	चार्ज
","	चर्गे
","	चार्ज
"
"	चिढ़ते
","	चिधाते
","	चिढ़ते
"
"	चिपकने
","	चिपकाने
","	चिपकने
"
"	चिल्लाने
","	चिलनाई
","	चिल्लाने
"
"	चौदहवां
","	चौदहवान
","	चौदहवां
"
"	छाती
","	छाति
","	छाती
"
"	छींक
","	छिंक
","	छींक
"
"	जगाएगा
","	जगागे
","	जगाएगा
"
"	जड़ें
","	जादें
","	जड़ें
"
"	जतरा
","	जतारा
","	जतरा
"
"	जसमीत
","	जस्मीत
","	जसमीत
"
"	जिप्सी
","	ज्ञप्यी
","	जिप्सी
"
"	जीयो
","	जीयों
","	जीयो
"
"	जीवनियां
","	जीविनियां
","	जीवनियां
"
"	जुड़ाई
","	जुदाई
","	जुड़ाई
"
"	जुल्मों
","	जूलमों
","	जुल्मों
"
"	जेनर
","	जेनिर
","	जेनर
"
"	ज्ञातव्य
","	ज्ञात्यव
","	ज्ञातव्य
"
"	झ
","	ज
","	झ
"
"	झलकती
","	झलकति
","	झलकती
"
"	झांकना
","	झंकाना
","	झांकना
"
"	टाइम
","	टीमे
","	टाइम
"
"	टेंशन
","	टेंसियन
","	टेंशन
"
"	ट्रांजिस्टर
","	ट्रांगिस्टर
","	ट्रांजिस्टर
"
"	डाका
","	डका
","	डाका
"
"	डुबोना
","	दूबोना
","	डुबोना
"
"	डेवी
","	देवी
","	डेवी
"
"	डोरंडा
","	दोरंडा
","	डोरंडा
"
"	ड्रामे
","	ड्रेम
","	ड्रामे
"
"	त्यौहारों
","	त्यायारोह
","	त्यौहारों
"
"	थानवी
","	ठांवी
","	थानवी
"
"	थेन
","	ठें
","	थेन
"
"	थेनी
","	ठेनी
","	थेनी
"
"	थैली
","	थेली
","	थैली
"
"	थैले
","	थेले
","	थैले
"
"	दर्रा
","	दरा
","	दर्रा
"
"	दाभोलकर
","	दाभलकर
","	दाभोलकर
"
"	दिरहम
","	दिराम
","	दिरहम
"
"	धनकुबेर
","	धनंकबुर
","	धनकुबेर
"
"	धम्मा
","	धममा
","	धम्मा
"
"	धूनी
","	धुनी
","	धूनी
"
"	धैर्यवान
","	धैर्यवाम
","	धैर्यवान
"
"	ध्रुपद
